shortcut_set,weight,link_title,link_path
student,-10,My session resumes,user/dashboard/resumes
student,-9,Add session resume,node/add/session_resume
student,-8,Contact the Breema Center,contact/center
practitioner,-10,My groups,user/dashboard/groups
practitioner,-9,My directory entry,user/dashboard/directory
practitioner,-8,Contact the Breema Center,contact/center
instructor,-10,Add event,node/add/event
instructor,-9,My events,user/dashboard/events
instructor,-8,My groups,user/dashboard/groups
instructor,-7,My directory entry,user/dashboard/directory
instructor,-6,Contact the Breema Center,contact/center
content-administrator,-10,Add content,node/add
content-administrator,-9,Add event,node/add/event
content-administrator,-8,All content,admin/content
content-administrator,-7,Directory admin,admin/content/breema-directory
content-administrator,-6,Event admin,admin/content/breema-events
content-administrator,-5,Featured events,admin/structure/entityqueue/event_featured/event_featured
content-administrator,-4,My groups,user/dashboard/groups
content-administrator,-3,My directory entry,user/dashboard/directory
user-administrator,-10,Add content,node/add
user-administrator,-9,Add event,node/add/event
user-administrator,-8,All content,admin/content
user-administrator,-7,Directory admin,admin/content/breema-directory
user-administrator,-6,Event admin,admin/content/breema-events
user-administrator,-5,Featured events,admin/structure/entityqueue/event_featured/event_featured
user-administrator,-4,People admin,admin/people
user-administrator,-3,My groups,user/dashboard/groups
user-administrator,-2,My directory entry,user/dashboard/directory
administrator,-10,Add content,node/add
administrator,-9,Add event,node/add/event
administrator,-8,All content,admin/content
administrator,-7,Directory admin,admin/content/breema-directory
administrator,-6,Event admin,admin/content/breema-events
administrator,-5,Featured events,admin/structure/entityqueue/event_featured/event_featured
administrator,-4,People admin,admin/people
administrator,-3,Logs,admin/reports/dblog?type[]=contact&type[]=content&type[]=entityqueue&type[]=user
